"類型
Type","觀光遊憩區
Scenic Spots","縣市
City/Country","113年
1月","113年
2月","113年
3月","113年
4月","113年
5月","113年
6月","113年
7月","113年
8月","113年
9月","113年
10月","113年
11月","113年
12月","113年
1月-12月",資料來源
"博物館
Museums","台北當代藝術館
Museum of Contemporary Art ,Taipei","臺北市
Taipei City","13,097 ","11,170 ","15,898 ","16,975 ","15,014 ","21,099 ","14,300 ","18,466 ","12,273 ","14,880 ","33,914 ","18,847 ","205,933 ",臺北市政府
"博物館
Museums","北投溫泉博物館
Beitou Hot Spring Museum","臺北市
Taipei City","40,451 ","31,132 ","38,337 ","32,383 ","29,062 ","24,190 ","22,551 ","25,729 ","22,113 ","30,158 ","38,439 ","44,015 ","378,560 ",臺北市政府
"博物館
Museums","凱達格蘭文化館
Ketagalan Culture Center","臺北市
Taipei City","13,632 ","9,887 ","15,231 ","14,587 ","16,540 ","17,482 ","16,163 ","14,433 ","12,744 ","15,423 ","16,421 ","15,290 ","177,833 ",臺北市政府
"博物館
Museums","國立臺灣博物館
National Taiwan Museum","臺北市
Taipei City","62,857 ","62,597 ","63,341 ","69,218 ","79,238 ","82,605 ","97,165 ","102,038 ","62,917 ","65,267 ","69,336 ","67,184 ","883,763 ",臺北市政府
"博物館
Museums","新北市坪林茶業博物館
Pinglin Tea Museum of New Taipei City","新北市
New Taipei City","12,143 ","22,224 ","13,291 ","22,298 ","16,921 ","16,199 ","14,852 ","19,118 ","19,023 ","20,320 ","19,322 ","18,592 ","214,303 ",新北市政府
"博物館
Museums","新北市立鶯歌陶瓷博物館
New Taipei City Yingge Ceramics Museum","新北市
New Taipei City","31,841 ","54,849 ","53,545 ","57,258 ","39,355 ","55,035 ","59,025 ","67,181 ","32,389 ","36,889 ","35,688 ","42,990 ","566,045 ",新北市政府
"博物館
Museums","新北市立十三行博物館
New Taipei City Shihsanhang Museum of Archaeology","新北市
New Taipei City","41,977 ","57,141 ","41,580 ","85,958 ","42,544 ","41,525 ","80,322 ","49,686 ","33,395 ","35,930 ","39,025 ","39,082 ","588,165 ",新北市政府
"博物館
Museums","新北市立黃金博物館
New Taipei City Government Gold Museum","新北市
New Taipei City","67,677 ","95,896 ","91,611 ","84,697 ","82,652 ","85,502 ","89,292 ","111,572 ","81,364 ","75,993 ","76,543 ","90,851 ","1,033,650 ",新北市政府
"博物館
Museums","新北市客家文化園區
New Taipei City Hakka Museum","新北市
New Taipei City","47,325 ","48,920 ","31,626 ","40,484 ","68,731 ","58,411 ","53,387 ","57,664 ","42,128 ","47,198 ","58,129 ","51,493 ","605,496 ",新北市政府
"博物館
Museums","朱銘美術館
Juming Museum","新北市
New Taipei City","2,852 ","4,433 ","3,450 ","13,910 ","4,252 ","4,235 ","3,704 ","3,467 ","6,759 ","1,553 ","2,685 ","3,199 ","54,499 ",新北市政府
"博物館
Museums","林本源園邸(林家花園) 
The Lin Family Mansion and Garden","新北市
New Taipei City","14,381 ","16,038 ","14,714 ","13,508 ","12,836 ","8,999 ","6,975 ","10,186 ","11,711 ","16,550 ","2,607,476 ","5,243,897 ","7,977,271 ",新北市政府
"博物館
Museums","三峽歷史文物館
Sansia Historical Relic Hall","新北市
New Taipei City","4,479 ","3,443 ","6,561 ","4,507 ","6,500 ","3,733 ","10,222 ","5,696 ","3,011 ","3,884 ","4,926 ","5,219 ","62,181 ",新北市政府
"博物館
Museums","國立海洋科技博物館
National Museum of Marine Science & Technology","基隆市
Keelung City","157,925 ","235,682 ","184,860 ","244,488 ","257,660 ","200,835 ","405,895 ","453,876 ","374,499 ","228,561 ","262,155 ","252,070 ","3,258,506 ",基隆市政府
"博物館
Museums","陽明海洋文化藝術館
Yangming Oceanic Culture and Art Museum","基隆市
Keelung City","1,538 ","1,494 ","1,858 ","2,043 ","1,739 ","2,417 ","2,788 ","2,314 ","1,711 ","2,096 ","1,924 ","3,851 ","25,773 ",基隆市政府
"博物館
Museums","臺灣客家文化館
Taiwan HAKKA Museum","苗栗縣
Miaoli County","33,148 ","53,099 ","35,695 ","102,052 ","64,629 ","51,214 ","45,250 ","43,733 ","51,191 ","46,110 ","48,173 ","44,892 ","619,186 ",客家委員會
"博物館
Museums","木雕博物館
Miaoli Woodsculpture Museum","苗栗縣
Miaoli County","3,004 ","4,374 ","3,552 ","6,113 ","6,102 ","6,198 ","6,209 ","5,402 ","4,601 ","4,704 ","4,153 ","13,951 ","68,363 ",苗栗縣政府
"博物館
Museums","國立自然科學博物館
National Museum of Natural Science","臺中市
Taichung City","189,977 ","191,187 ","176,960 ","224,669 ","224,182 ","226,919 ","285,743 ","300,256 ","171,855 ","170,855 ","205,843 ","191,778 ","2,560,224 ",臺中市政府
"博物館
Museums","國立臺灣美術館
National Taiwan Museum of Fine Arts","臺中市
Taichung City","41,492 ","42,623 ","48,680 ","62,934 ","75,504 ","66,384 ","169,308 ","100,353 ","52,096 ","47,999 ","51,244 ","48,628 ","807,245 ",臺中市政府
"博物館
Museums","國立故宮博物院南部院區
Southern Branch of the National Palace Museum","嘉義縣
Chiayi County","52,481 ","85,569 ","54,347 ","93,150 ","65,049 ","78,041 ","123,997 ","140,155 ","61,506 ","85,257 ","59,415 ","97,746 ","996,713 ",嘉義縣政府
"博物館
Museums","國立臺灣歷史博物館
National Museum of Taiwan History","臺南市
Tainan City","30,848 ","40,135 ","66,013 ","52,300 ","61,802 ","47,142 ","50,033 ","49,299 ","30,675 ","82,390 ","64,269 ","60,927 ","635,833 ",臺南市政府
"博物館
Museums","奇美博物館
Chimei Museum","臺南市
Tainan City","48,009 ","61,584 ","37,557 ","52,253 ","134,096 ","159,153 ","160,213 ","192,207 ","41,445 ","36,250 ","52,711 ","70,048 ","1,045,526 ",臺南市政府
"博物館
Museums","臺南市美術館
Tainan Art Museum","臺南市
Tainan City","39,102 ","45,697 ","39,967 ","46,723 ","46,935 ","51,571 ","42,147 ","53,301 ","30,115 ","58,771 ","91,247 ","38,334 ","583,910 ",臺南市政府
"博物館
Museums","台南山上花園水道博物館
Tainan SHAN –SHANG Garden And Old Waterworks Museum","臺南市
Tainan City","12,196 ","24,138 ","16,663 ","16,666 ","12,551 ","12,539 ","12,960 ","11,220 ","11,347 ","20,815 ","16,943 ","15,006 ","183,044 ",臺南市政府
"博物館
Museums","國立科學工藝博物館
National Science and Technology Museum","高雄市
Kaohsiung City","126,599 ","149,049 ","150,139 ","188,458 ","147,771 ","201,435 ","244,844 ","241,618 ","147,463 ","230,981 ","201,599 ","153,741 ","2,183,697 ",高雄市政府
"博物館
Museums","高雄市立美術館
Kaoshiung Museum of Fine Arts","高雄市
Kaohsiung City","155,093 ","170,709 ","156,898 ","134,015 ","141,839 ","136,860 ","131,526 ","123,723 ","133,226 ","151,026 ","163,124 ","171,721 ","1,769,760 ",高雄市政府
"博物館
Museums","高雄市立歷史博物館
Kaohsiung Museum of History","高雄市
Kaohsiung City","24,886 ","34,519 ","26,167 ","23,287 ","20,771 ","28,260 ","23,533 ","25,094 ","22,099 ","24,318 ","28,907 ","29,828 ","311,669 ",高雄市政府
"博物館
Museums","國立海洋生物博物館
National Museum of Marine Biology & Aquarium","屏東縣
Pingtung County","42,324 ","71,894 ","50,965 ","70,354 ","61,757 ","88,739 ","116,850 ","101,849 ","63,350 ","49,497 ","47,044 ","42,953 ","807,576 ",墾丁國家公園管理處
"博物館
Museums","六堆客家文化園區
Liudui Hakka Cultural Park","屏東縣
Pingtung County","50,093 ","96,722 ","74,474 ","70,177 ","72,434 ","63,194 ","57,308 ","44,484 ","48,781 ","43,616 ","80,971 ","57,385 ","759,639 ",客家委員會
"博物館
Museums","國立臺灣史前文化博物館
National Museum of Prehistory","臺東縣
Taitung County","9,711 ","11,937 ","8,697 ","12,755 ","10,943 ","11,866 ","22,883 ","22,890 ","12,559 ","11,174 ","11,608 ","8,174 ","155,197 ",臺東縣政府
"博物館
Museums","卑南遺址公園
Peinan Site Park","臺東縣
Taitung County","26,546 ","27,219 ","26,156 ","32,562 ","22,762 ","20,257 ","21,295 ","22,089 ","20,803 ","24,064 ","26,814 ","30,222 ","300,789 ",臺東縣政府
"博物館
Museums","莒光樓
Juguang Tower","金門縣
Kinmen County","11,557 ","10,213 ","17,314 ","17,716 ","22,953 ","20,517 ","20,970 ","16,856 ","19,903 ","24,593 ","26,600 ","23,444 ","232,636 ",金門縣政府
"宗教場所
Temples","清水祖師廟
Cingshui Zushih Temple","新北市
New Taipei City","20,800 ","197,220 ","47,750 ","51,650 ","47,700 ","48,700 ","47,350 ","46,910 ","44,180 ","42,600 ","44,620 ","44,550 ","684,030 ",新北市政府
"宗教場所
Temples","法鼓山世界佛教教育園區
Dharma Drum Mountain World Center for Buddhist Education","新北市
New Taipei City","8,758 ","29,253 ","10,952 ","11,080 ","12,483 ","8,065 ","7,815 ","8,825 ","9,090 ","7,706 ","9,581 ","8,227 ","131,835 ",新北市政府
"宗教場所
Temples","白沙屯拱天宮
BAISHATUN GONG-TIEN TEMPLE","苗栗縣
Miaoli County","224,229 ","533,722 ","565,621 ","499,166 ","390,571 ","301,996 ","240,342 ","179,733 ","240,633 ","250,530 ","254,543 ","252,317 ","3,933,403 ",苗栗縣政府
"宗教場所
Temples","萬和宮
Wan-He Temple","臺中市
Taichung City","23,100 ","46,200 ","19,304 ","18,972 ","21,120 ","18,700 ","21,120 ","10,395 ","20,130 ","20,350 ","19,800 ","19,800 ","258,991 ",臺中市政府
"宗教場所
Temples","大甲鎮瀾宮
Da Jia Jenn Lann Temple","臺中市
Taichung City","107,777 ","219,865 ","165,035 ","187,115 ","115,142 ","101,951 ","95,491 ","83,621 ","98,606 ","100,356 ","148,674 ","132,894 ","1,556,527 ",臺中市政府
"宗教場所
Temples","鹿港龍山寺
Longshan Temple, Lugang","彰化縣
Changhua County","53,076 ","189,576 ","47,724 ","39,936 ","41,710 ","41,426 ","44,028 ","71,488 ","71,423 ","63,128 ","42,152 ","48,356 ","754,023 ",彰化縣政府
"宗教場所
Temples","鹿港天后宮
Lukang Tian Hou Temple","彰化縣
Changhua County","114,283 ","184,838 ","145,168 ","151,831 ","161,667 ","182,708 ","123,642 ","135,063 ","142,019 ","170,771 ","100,057 ","205,164 ","1,817,211 ",彰化縣政府
"宗教場所
Temples","中臺禪寺
Chung-Tai Buddhist Temple","南投縣
Nantou County","9,307 ","10,889 ","10,500 ","11,416 ","6,124 ","11,282 ","8,944 ","8,461 ","9,200 ","10,286 ","22,833 ","24,110 ","143,352 ",南投縣政府
"宗教場所
Temples","北港朝天宮
BeiGang ChaoTian Temple","雲林縣
Yunlin County","376,000 ","2,310,300 ","1,953,100 ","1,617,900 ","907,400 ","521,710 ","345,000 ","274,000 ","334,100 ","356,480 ","436,000 ","442,000 ","9,873,990 ",雲林縣政府
"宗教場所
Temples","北港武德宮(北港武德宮管理委員會)
The Beigang Wude Temple","雲林縣
Yunlin County","607,006 ","2,222,611 ","1,002,288 ","1,002,562 ","544,092 ","515,557 ","521,467 ","310,875 ","512,072 ","531,115 ","534,287 ","551,627 ","8,855,559 ",雲林縣政府
"宗教場所
Temples","嘉義城隍廟
Chiayi City God Temple","嘉義市
Chiayi City","146,593 ","163,528 ","116,141 ","139,252 ","165,121 ","156,341 ","150,629 ","167,637 ","163,747 ","168,059 ","165,205 ","180,404 ","1,882,657 ",嘉義市政府
"宗教場所
Temples","南鯤鯓代天府
Daitianfu Temple, Nankunshen","臺南市
Tainan City","97,600 ","1,517,600 ","515,000 ","509,800 ","812,500 ","685,000 ","631,500 ","173,000 ","329,000 ","409,000 ","397,000 ","356,000 ","6,433,000 ",臺南市政府
"宗教場所
Temples","麻豆代天府
Daitianfu Temple, Madou","臺南市
Tainan City","173,838 ","730,568 ","584,454 ","547,926 ","609,182 ","520,529 ","416,423 ","333,138 ","353,122 ","300,237 ","322,218 ","262,710 ","5,154,345 ",臺南市政府
"宗教場所
Temples","佛光山
Foguangshan","高雄市
Kaohsiung City","155,988 ","812,516 ","175,797 ","138,456 ","155,755 ","128,953 ","151,218 ","156,553 ","134,980 ","138,046 ","224,553 ","305,489 ","2,678,304 ",高雄市政府
"宗教場所
Temples","車城福安宮
Checheng FuanTemple","屏東縣
Pingtung County","342,750 ","543,100 ","447,400 ","330,200 ","346,000 ","382,200 ","362,800 ","272,863 ","349,053 ","349,040 ","312,000 ","332,000 ","4,369,406 ",屏東縣政府
"其他
Others","國民革命忠烈祠
National Revolutionary Martyrs’ Shrine","臺北市
Taipei City","29,716 ","33,543 ","63,955 ","60,946 ","64,897 ","49,190 ","38,063 ","48,422 ","41,590 ","37,715 ","46,141 ","34,292 ","548,470 ",臺北市政府
"其他
Others","國立臺灣藝術教育館
National Taiwan Arts Education Center","臺北市
Taipei City","41,412 ","36,789 ","27,755 ","30,289 ","42,459 ","32,145 ","28,346 ","43,168 ","31,172 ","27,900 ","24,935 ","29,339 ","395,709 ",臺北市政府
"其他
Others","臺北市立動物園
Taipei Zoo","臺北市
Taipei City","216,743 ","321,728 ","284,373 ","247,970 ","192,804 ","118,424 ","168,803 ","211,940 ","139,665 ","231,897 ","233,421 ","257,206 ","2,624,974 ",臺北市政府
"其他
Others","士林官邸公園
Chiang Kai-shek Shilin Residence Park","臺北市
Taipei City","627,379 ","771,583 ","313,424 ","153,204 ","125,394 ","51,584 ","49,201 ","49,288 ","45,484 ","43,404 ","144,114 ","576,418 ","2,950,477 ",臺北市政府
"其他
Others","臺北自來水園區
Taipei Water Park","臺北市
Taipei City","28,738 ","27,527 ","28,692 ","30,983 ","41,258 ","78,470 ","98,902 ","91,635 ","58,659 ","29,592 ","41,334 ","41,850 ","597,640 ",臺北市政府
"其他
Others","關渡自然公園
Guandu Nature Park","臺北市
Taipei City","5,698 ","6,358 ","6,199 ","7,656 ","8,391 ","9,065 ","6,156 ","5,888 ","7,223 ","17,746 ","9,932 ","8,422 ","98,734 ",臺北市政府
"其他
Others","美麗華摩天輪
Miramar Ferris Wheel","臺北市
Taipei City","13,059 ","14,288 ","11,205 ","10,025 ","10,136 ","10,935 ","12,444 ","13,436 ","9,659 ","9,538 ","30,427 ","19,251 ","164,403 ",臺北市政府
"其他
Others","台北101
Taipei 101","臺北市
Taipei City","927,706 ","989,833 ","968,530 ","905,987 ","904,634 ","1,072,583 ","1,155,100 ","1,171,611 ","1,078,551 ","1,033,942 ","1,138,041 ","1,402,290 ","12,748,808 ",臺北市政府
"其他
Others","臺北孔廟
Taipei Confucius Temple","臺北市
Taipei City","34,677 ","41,994 ","34,578 ","37,078 ","35,044 ","25,971 ","22,731 ","24,723 ","27,026 ","31,097 ","36,936 ","38,276 ","390,131 ",臺北市政府
"其他
Others","臺北市立兒童新樂園
Taipei Children’s Amusement Park","臺北市
Taipei City","164,597 ","240,331 ","137,054 ","183,238 ","129,451 ","135,328 ","207,787 ","262,261 ","78,570 ","139,023 ","144,385 ","155,617 ","1,977,642 ",臺北市政府
"其他
Others","台北植物園
Taipei Botanical Garden","臺北市
Taipei City","128,342 ","126,737 ","157,257 ","153,929 ","182,302 ","133,299 ","102,130 ","113,165 ","113,982 ","114,069 ","99,166 ","142,957 ","1,567,335 ",臺北市政府
"其他
Others","華山1914文化創意產業園區
Huashan 1914 Creative Park","臺北市
Taipei City","352,259 ","395,394 ","332,828 ","259,312 ","180,401 ","269,255 ","394,900 ","427,719 ","310,958 ","341,114 ","386,214 ","548,859 ","4,199,213 ",臺北市政府
"其他
Others","松山文創園區
Songshan Cultural and Creative Park","臺北市
Taipei City","692,948 ","756,598 ","721,385 ","830,679 ","774,260 ","833,506 ","785,348 ","889,709 ","758,653 ","905,019 ","860,861 ","998,550 ","9,807,516 ",臺北市政府
"其他
Others","白石湖吊橋
Baishihu Suspension Bridge","臺北市
Taipei City","17,424 ","28,382 ","20,187 ","14,081 ","15,197 ","10,907 ",0 ,0 ,0 ,0 ,0 ,0 ,"106,178 ",臺北市政府
"其他
Others","十分瀑布
Shifen Waterfall","新北市
New Taipei City","94,813 ","259,804 ","114,444 ","129,045 ","120,751 ","126,862 ","158,611 ","189,360 ","165,430 ","132,525 ","126,245 ","223,946 ","1,841,836 ",新北市政府
"其他
Others","十分遊客中心
Shifen Visitor Center","新北市
New Taipei City","137,637 ","340,040 ","231,980 ","227,484 ","181,517 ","207,044 ","229,414 ","234,756 ","191,443 ","187,358 ","184,890 ","278,123 ","2,631,686 ",新北市政府
"其他
Others","淡水漁人碼頭
Tamshui Fishman’s Wharf","新北市
New Taipei City","112,521 ","154,535 ","164,174 ","123,612 ","143,043 ","140,049 ","148,513 ","162,907 ","146,277 ","133,797 ","154,906 ","166,788 ","1,751,122 ",新北市政府
"其他
Others","猴硐煤礦博物園區
Houtong Coal Mine Ecological Park","新北市
New Taipei City","76,465 ","98,263 ","91,415 ","91,093 ","92,657 ","97,689 ","95,911 ","90,286 ","94,749 ","95,072 ","91,352 ","180,721 ","1,195,673 ",新北市政府
"其他
Others","水湳洞遊客中心
Shuinandong Visitor Center","新北市
New Taipei City","30,950 ","51,608 ","46,722 ","54,127 ","56,042 ","54,806 ","48,469 ","51,152 ","41,804 ","45,074 ","40,746 ","76,890 ","598,390 ",新北市政府
"其他
Others","林口三井Outlet
MITSUI Outlet Park","新北市
New Taipei City","708,814 ","816,402 ","682,488 ","675,870 ","662,157 ","788,152 ","742,206 ","766,115 ","726,413 ","904,662 ","1,158,323 ","1,134,704 ","9,766,306 ",新北市政府
"其他
Others","雲仙樂園
Yun Hsien Resort","新北市
New Taipei City","8,705 ","14,971 ","10,831 ","10,724 ","12,624 ","12,177 ","11,496 ","11,395 ","11,153 ","13,361 ","13,123 ","15,794 ","146,354 ",新北市政府
"其他
Others","大板根森林溫泉酒店
The Great Roots Forestry Spa Resort","新北市
New Taipei City","15,009 ","15,688 ","12,663 ","12,636 ","12,394 ","14,061 ","14,148 ","14,318 ","16,629 ","15,013 ","14,236 ","16,348 ","173,143 ",新北市政府
"其他
Others","淡水紅毛城
Fort San Domingo","新北市
New Taipei City","63,416 ","69,028 ","59,166 ","63,748 ","51,202 ","39,808 ","32,828 ","42,496 ","41,769 ","57,066 ","72,717 ","82,809 ","676,053 ",新北市政府
"其他
Others","滬尾礮臺
Hobe Fort","新北市
New Taipei City","6,611 ","6,336 ","6,387 ","6,816 ","6,444 ","5,417 ","3,718 ","4,900 ","3,845 ","5,479 ","5,560 ","5,956 ","67,469 ",新北市政府
"其他
Others","前清淡水關稅務司官邸 (小白宮)
Tamsui Customs Officer's Residence (Little White House)","新北市
New Taipei City","20,742 ","20,394 ","18,126 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"59,262 ",新北市政府
"其他
Others","鶯歌老街
Yingge Historic Street","新北市
New Taipei City","32,086 ","55,157 ","53,769 ","57,537 ","39,571 ","55,260 ","59,255 ","67,212 ","32,389 ","36,889 ","35,864 ","43,239 ","568,228 ",新北市政府
"其他
Others","三峽老街
Sansia Old Street","新北市
New Taipei City","80,733 ","175,215 ","90,638 ","72,748 ","74,772 ","73,649 ","62,387 ","60,096 ","55,352 ","60,497 ","80,382 ","90,648 ","977,117 ",新北市政府
"其他
Others","八里左岸公園
Bali Zou-an","新北市
New Taipei City","245,700 ","299,700 ","254,700 ","283,000 ","239,400 ","270,000 ","311,000 ","267,300 ","189,900 ","214,000 ","263,000 ","268,000 ","3,105,700 ",新北市政府
"其他
Others","淡水金色水岸
Golden Coast","新北市
New Taipei City","329,400 ","411,300 ","351,900 ","377,000 ","319,500 ","359,100 ","403,000 ","350,100 ","252,900 ","287,000 ","361,000 ","366,390 ","4,168,590 ",新北市政府
"其他
Others","宏匯廣場
Honhui Plaza","新北市
New Taipei City","524,822 ","616,990 ","572,075 ","550,732 ","526,774 ","709,745 ","677,873 ","619,371 ","521,547 ","545,224 ","539,246 ","596,584 ","7,000,983 ",新北市政府
"其他
Others","慈湖
Cihu","桃園市
Taoyuan City","310,753 ","306,798 ","262,501 ","234,910 ","273,730 ","250,253 ","258,818 ","261,838 ","244,253 ","243,964 ","233,131 ","232,411 ","3,113,360 ",桃園市政府
"其他
Others","小人國主題樂園
Window on China Theme Park","桃園市
Taoyuan City","29,326 ","46,413 ","37,126 ","53,721 ","44,078 ","59,777 ","58,047 ","71,767 ","58,547 ","35,881 ","66,300 ","35,963 ","596,946 ",桃園市政府
"其他
Others","埔心牧場
Wei Chuan Pushin Ranch","桃園市
Taoyuan City","29,677 ","59,498 ","33,386 ","49,783 ","41,863 ","35,555 ","29,183 ","50,973 ","40,932 ","50,700 ","49,813 ","31,559 ","502,922 ",桃園市政府
"其他
Others","桃園市客家文化館
Taoyuan City Hakka Cultural Park","桃園市
Taoyuan City","39,695 ","37,726 ","42,157 ","51,331 ","47,592 ","45,552 ","48,852 ","50,001 ","44,008 ","47,326 ","59,057 ","47,443 ","560,740 ",桃園市政府
"其他
Others","永安漁港
Yong-an Fish Harbor","桃園市
Taoyuan City","153,839 ","207,647 ","175,125 ","175,194 ","191,606 ","210,003 ","194,276 ","219,624 ","206,115 ","225,380 ","193,090 ","164,015 ","2,315,914 ",桃園市政府
"其他
Others","新屋綠色走廊
Xinwu Green Corridor","桃園市
Taoyuan City","222,824 ","257,447 ","247,598 ","230,545 ","239,534 ","233,580 ","217,330 ","238,395 ","223,675 ","232,586 ","213,114 ","198,461 ","2,755,089 ",桃園市政府
"其他
Others","竹圍漁港
Zhuwei Fishing Port","桃園市
Taoyuan City","169,903 ","239,273 ","176,107 ","181,897 ","200,833 ","193,354 ","172,518 ","190,489 ","197,004 ","234,962 ","190,939 ","141,550 ","2,288,829 ",桃園市政府
"其他
Others","大溪老城區
Daxi Zhongzheng Park","桃園市
Taoyuan City","622,737 ","685,382 ","614,613 ","513,371 ","511,893 ","464,295 ","456,814 ","452,282 ","429,637 ","478,988 ","519,252 ","540,731 ","6,289,995 ",桃園市政府
"其他
Others","龍潭觀光大池
Longtan Large Tourist Pond","桃園市
Taoyuan City","295,849 ","359,708 ","297,275 ","267,826 ","297,853 ","335,525 ","267,204 ","283,264 ","258,604 ","272,321 ","268,333 ","264,020 ","3,467,782 ",桃園市政府
"其他
Others","草漯沙丘地質公園
Caota Sand Dunes Geopark","桃園市
Taoyuan City","134,988 ","117,780 ","141,052 ","115,310 ","120,775 ","112,705 ","117,963 ","124,854 ","117,200 ","123,334 ","135,849 ","139,415 ","1,501,225 ",桃園市政府
"其他
Others","老街溪沿岸步道
Zhongli Laojie Creek Trail","桃園市
Taoyuan City","817,563 ","924,126 ","954,995 ","845,201 ","932,734 ","884,337 ","870,541 ","940,019 ","822,916 ","831,714 ","847,653 ","862,908 ","10,534,707 ",桃園市政府
"其他
Others","八德埤塘自然生態公園
Bade Pond Ecology Park","桃園市
Taoyuan City","126,304 ","128,235 ","129,170 ","112,697 ","120,993 ","110,047 ","107,463 ","117,440 ","114,765 ","116,983 ","115,976 ","114,611 ","1,414,684 ",桃園市政府
"其他
Others","1895乙未保台紀念公園
1895 War Memorial Park","桃園市
Taoyuan City","154,584 ","134,135 ","148,414 ","115,700 ","135,518 ","127,628 ","125,965 ","144,331 ","124,546 ","128,558 ","131,319 ","135,434 ","1,606,132 ",桃園市政府
"其他
Others","六福村主題遊樂園
Leofoo Village Theme Park","新竹縣
Hsinchu County","49,349 ","81,472 ","58,717 ","70,330 ","61,450 ","117,878 ","136,836 ","213,795 ","82,494 ","118,084 ","132,214 ","102,551 ","1,225,170 ",新竹縣政府
"其他
Others","小叮噹科學主題樂園
Little Ding-Dong Science Theme Park","新竹縣
Hsinchu County","27,323 ","32,217 ","31,315 ","45,836 ","33,006 ","31,099 ","55,833 ","70,532 ","34,700 ","32,473 ","37,920 ","36,967 ","469,221 ",新竹縣政府
"其他
Others","北埔老街
Beipu Old Street","新竹縣
Hsinchu County","95,958 ","126,180 ","88,722 ","90,702 ","75,492 ","84,114 ","66,456 ","77,688 ","78,948 ","88,344 ","92,682 ","92,214 ","1,057,500 ",新竹縣政府
"其他
Others","內灣老街
Neiwan Old Street","新竹縣
Hsinchu County","112,492 ","114,863 ","114,462 ","110,488 ","111,250 ","112,668 ","108,756 ","110,014 ","98,771 ","107,722 ","108,596 ","124,749 ","1,334,831 ",新竹縣政府
"其他
Others","新竹漁港
 Hsinchu Fishing Port","新竹市
Hsinchu City","167,928 ","234,449 ","187,467 ","220,681 ","211,608 ","235,074 ","196,794 ","241,767 ","238,417 ","208,856 ","175,453 ","148,096 ","2,466,590 ",新竹市政府
"其他
Others","新竹公園
Hsinchupark","新竹市
Hsinchu City","319,593 ","378,207 ","348,394 ","345,994 ","326,767 ","291,925 ","272,440 ","294,388 ","268,955 ","300,625 ","330,066 ","307,827 ","3,785,181 ",新竹市政府
"其他
Others","基隆嶼
Keelung Islet","基隆市
Keelung City",0 ,0 ,0 ,"15,802 ","13,113 ","12,596 ","9,342 ","5,815 ","13,261 ","9,008 ",0 ,0 ,"78,937 ",基隆市政府
"其他
Others","蘇澳冷泉
Su-ao Cold Spring","宜蘭縣
Yilan County",0 ,0 ,0 ,0 ,0 ,"4,558 ","13,938 ","23,379 ","8,919 ","1,314 ",228 ,414 ,"52,750 ",宜蘭縣政府
"其他
Others","國立傳統藝術中心
National Center for Traditional Arts","宜蘭縣
Yilan County","101,524 ","127,256 ","68,884 ","74,332 ","65,113 ","74,673 ","81,707 ","135,146 ","61,795 ","88,711 ","76,456 ","88,427 ","1,044,024 ",宜蘭縣政府
"其他
Others","蘭陽博物園區
Yilan County Lanyang Museum","宜蘭縣
Yilan County","29,316 ","39,123 ","34,620 ","52,788 ","53,815 ","60,304 ","82,373 ","89,124 ","54,196 ","54,314 ","35,938 ","33,415 ","619,326 ",宜蘭縣政府
"其他
Others","香格里拉樂園
Shangrila Paradise","苗栗縣
Miaoli County",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,苗栗縣政府
"其他
Others","西湖渡假村
West Lake Resortopia","苗栗縣
Miaoli County","9,577 ","25,214 ","15,236 ","17,520 ","9,704 ","5,955 ","5,352 ","7,135 ","3,778 ","5,413 ","7,771 ","4,553 ","117,208 ",苗栗縣政府
"其他
Others","大湖草莓文化館
Dahu Strawberry Culture Museum","苗栗縣
Miaoli County","100,757 ","172,944 ","71,066 ","100,448 ","79,253 ","68,892 ","65,488 ","66,968 ","63,577 ","69,084 ","81,348 ","122,288 ","1,062,113 ",苗栗縣政府
"其他
Others","客家大院
Hakka courtyard","苗栗縣
Miaoli County","2,807 ","2,783 ","2,772 ","2,767 ","2,755 ","2,728 ","2,751 ","2,760 ","2,743 ","2,802 ","2,931 ","2,907 ","33,506 ",苗栗縣政府
"其他
Others","客家圓樓
Hakka Round House","苗栗縣
Miaoli County","2,479 ",0 ,"3,260 ","4,280 ","5,085 ","4,475 ","3,158 ","2,769 ","2,923 ","3,912 ","4,462 ","3,542 ","40,345 ",苗栗縣政府
"其他
Others","大坑登山步道
Ta-Keng Hiking Path","臺中市
Taichung City","363,532 ","304,652 ","279,250 ","261,514 ","276,177 ","282,770 ","244,461 ","244,988 ","219,896 ","317,586 ","309,406 ","279,303 ","3,383,535 ",臺中市政府
"其他
Others","福壽山農場
Fushoushan Farm","臺中市
Taichung City","8,465 ","42,392 ","24,213 ","64,622 ","4,354 ","6,287 ","9,430 ","7,964 ","7,822 ","15,569 ","24,272 ","20,944 ","236,334 ",國軍退除役官兵輔導委員會
"其他
Others","梧棲觀光漁港
Wuci Tourist Fish Port","臺中市
Taichung City","96,171 ","122,877 ","96,358 ","105,299 ","113,437 ","118,170 ","94,884 ","105,647 ","120,861 ","127,585 ","110,395 ","91,940 ","1,303,624 ",臺中市政府
